	umls_meddra	umls_def
0	C0221423	Sickness
1	C1261473	Sarcoma
2	C0231527	Muscular incoordination
3	C0241357	Testosterone low
4	C0151996	Uterine fibroids enlarged
5	C1458155	Breast neoplasm
6	C0405106	Retained placenta or membranes
7	C0018946	Subdural haematoma
8	C0007097	Carcinoma
9	C0154833	Retinal vascular disorder
10	C0030920	Peptic ulcer
11	C0745754	Hepatic granuloma
12	C0021345	Infectious mononucleosis
13	C1168188	Intermittent headache
14	C0860803	Glucose increased
15	C0010200	Cough
16	C0269596	Haemorrhage in pregnancy
17	C0041428	Conjoined twins
18	C1456822	Claudication
19	C0311220	Lymphocytoma cutis
20	C0497481	Penile pain
21	C0392618	Postoperative infection
22	C0343495	Lockjaw
23	C0677658	Breast disorder female
24	C0853595	Blood cholesterol abnormal
25	C0085580	Essential hypertension
26	C1737211	Hypoglycaemic unconsciousness
27	C0541832	Chromaturia
28	C0028960	Oligospermia
29	C0007682	Central nervous system disorder
30	C0410740	Finger deformity
31	C0853035	Blood creatinine normal
32	C1611162	Plateletcrit decreased
33	C0859290	Black spot
34	C0425481	Respiratory sighs
35	C0042267	Vaginal inflammation
36	C0748023	Bacterial prostatitis
37	C3665624	Blood calcium decreased
38	C0149709	Hepatitis B surface antigen positive
39	C0007193	Congestive cardiomyopathy
40	C0235398	Diabetes mellitus exacerbated
41	C0234953	Tongue spasm
42	C0242785	Drug - food interaction
43	C1328358	Pedal pulse decreased
44	C0235893	Allergy aggravated
45	C0154822	Serous retinal detachment
46	C1295585	Decreased vibratory sense
47	C0236075	Menopausal symptoms
48	C1096393	Body fat disorder
49	C0242379	Lung neoplasm malignant
50	C0221742	Serum sickness-like reaction
51	C0860433	Irreversible renal failure
52	C0029453	Osteopenia
53	C0221252	Eruptive xanthoma
54	C0008626	Cytogenetic abnormality
55	C1276146	Lymphoma cutis
56	C0854171	Temperature regulation disorder
57	C0558368	Vaginal irritation
58	C0011057	Sudden hearing loss
59	C0029118	Opportunistic infection
61	C0032463	Polycythaemia vera
62	C0549322	Eyelid infection
63	C0860204	Cholestatic liver disease
64	C0271298	Chemosis
65	C0740379	Hydrocortisone decreased
66	C0277577	Psychic disturbance
67	C0242784	Food interaction
68	C0235162	Difficulty sleeping
69	C0221204	Osteolysis
70	C0427457	Red blood cell count decreased
71	C2939186	Mood alteration NOS
72	C0018520	Breath odour
73	C0852932	Arthropod sting
74	C3248383	Logorrhoea
75	C0035344	Retinopathy of prematurity
76	C1168174	Absolute neutrophil count decreased
77	C0860866	Potassium low
78	C0007384	Cataplexy
79	C3203466	Acute enterocolitis
80	C0220982	Ketoacidosis
81	C1535893	Orthostatic intolerance
82	C0021775	Intermittent claudication
83	C0012359	Distention
84	C0027932	Neurosis
85	C3160840	Macular pigmentation
86	C0034887	Rectal polyp
87	C0041105	Trismus
88	C1510431	Thrombophlebitis superficial
89	C2937220	Malformation venous
90	C0014550	Myoclonic epilepsy
91	C0578050	Lymph node pain
92	C0031039	Pericardial effusion
93	C0034880	Hyperacusis
94	C0740651	Abdominal symptom
95	C0007370	Catalepsy
96	C0005424	Biliary tract disorder
97	C0151613	Electrolyte abnormality
98	C0549280	Nausea aggravated
99	C0018800	Cardiomegaly
100	C0033775	Anal pruritus
101	C0476327	Serum amylase increased
102	C0020505	Hyperphagia
103	C0014394	Enuresis
104	C0035127	Repetitive strain injury
105	C0018188	Granuloma
106	C0700594	Radiculopathy
107	C0265935	Congenital arterial malformation
108	C0268671	Korsakoff's psychosis (non-alcoholic)
109	C0026205	Miosis
110	C0013491	Ecchymosis
111	C0863079	Ocular stinging
112	C1261989	Hepatic enzyme decreased
113	C0438717	Transaminases increased
114	C0151826	Retrosternal pain
115	C0006435	Chemical burn
116	C0854438	Blepharal pigmentation
117	C0042140	Uterine prolapse
118	C0032787	Postoperative complications NOS
119	C1142420	Hepatitis B reactivation
120	C0151517	Atrioventricular block complete
121	C0854532	Myopericarditis
122	C0029434	Osteogenesis imperfecta
123	C0151824	Biliary colic
124	C0242979	Muscle fatigue
125	C0233697	Obsessive rumination
126	C0595861	Parasuicide
127	C0023648	Bullous lichen planus
128	C0263978	Soft tissue disorder
129	C0006079	Bowen's disease
130	C0029944	Overdose
131	C0032371	Poliomyelitis
132	C0162529	Colitis ischaemic
133	C0340643	Aortic dissection
134	C0521503	Injection site burning
135	C0343387	Neutropenic enterocolitis
136	C0392702	Abnormal involuntary movements
137	C0270697	Lumbar puncture headache
138	C0270790	Quadriparesis
139	C0234376	Action tremor
140	C0155169	Ocular hyperaemia
141	C0856597	Pulmonary alveolitis
142	C0595862	Vasodilatation
143	C0855217	Lack of spontaneous speech
144	C0002886	Anaemia macrocytic
145	C0016325	Fluorosis
146	C0577559	Mass
147	C1112573	Delayed orgasm
148	C0221152	Obstipation
149	C0026919	Atypical mycobacterial infection
150	C0496870	Benign hepatic neoplasm
151	C0877339	Cardio-respiratory distress
152	C0235338	Salivary gland pain
153	C0003496	Aortic rupture
154	C0021294	Premature baby
155	C0857495	Sore nose
156	C0085653	Pyogenic granuloma
157	C1610069	Circulatory depression
158	C0234938	Injection site abscess sterile
159	C0239935	Haematocrit increased
160	C0936223	Prostate cancer metastatic
161	C0221490	Epigastric distress
163	C0085618	Venospasm
164	C0232459	Digestion impaired
165	C0027531	Neck injury
166	C0848648	Fungal rash
167	C1318520	Vasculitis necrotising
168	C1384597	Acquired megacolon
169	C0235896	Lung infiltration
170	C0030554	Paraesthesia
171	C0039446	Telangiectasia
172	C1096717	Pain during injection
173	C0041959	Ureteritis
174	C0264286	Pharyngitis ulcerative
175	C0001707	Aerophagia
176	C0410916	Death neonatal
177	C0232197	Cardiac fibrillation
178	C0002891	Anaemia neonatal
179	C0576093	Genu valgum
180	C0920184	Fundic gland polyp
181	C0038012	Spondylitis
182	C0035021	Relapsing fever
183	C0549229	Nail discomfort
184	C0030848	Peyronie's disease
185	C0424109	Tearfulness
186	C1697973	Infusion site paraesthesia
187	C0876973	Lung infection
188	C0272285	Heparin-induced thrombocytopenia
189	C0273115	Traumatic lung injury
190	C1112303	Facial wasting
191	C0857257	Bloated feeling
192	C0205990	Vaginal prolapse
193	C0037274	Skin disorder
194	C0847033	Allergic oedema
195	C0027947	Neutropenia
196	C0857353	Hypotensive
197	C0263888	Back disorder
198	C0024899	Mastocytosis
199	C0920195	Aphakic cystoid macular oedema
200	C1141930	Post procedural complication
201	C0085660	Aseptic necrosis
202	C0011633	Dermatomyositis
203	C1442998	Colpocele
204	C0549357	Abdominal adhesions
205	C1698400	Incision site oedema
206	C0852970	Dacryoadenitis acquired
207	C0262469	Embolic stroke
208	C0033949	Male orgasmic disorder
209	C0152018	Oesophageal carcinoma
210	C1744601	Heart rate abnormal
211	C0580493	Serum albumin decreased
212	C0746731	Acute myocardial ischemia
213	C0079744	Diffuse large B-cell lymphoma
214	C0025281	Meniere's disease
215	C0020545	Renovascular hypertension
216	C0026751	Multiparous
217	C0085693	Acute appendicitis
218	C0008909	Claustrophobia
219	C0558489	Renal pain
220	C0521622	Bilateral hydronephrosis
221	C0037383	Sneezing
223	C0876998	Intracardiac thrombus
224	C1384494	Metastatic carcinoma
225	C0162557	Acute hepatic failure
226	C1148477	Sudden deafness
227	C0014179	Endometritis
228	C1096444	Altered visual depth perception
229	C0686347	Tardive dyskinesia
230	C0919936	Therapy naive
231	C1258215	Ileus
232	C0860728	Osmolality increased
233	C0234215	Discomfort
234	C0236071	Throat tightness
235	C0852875	Eye allergy
236	C2584688	Testicular swelling
237	C0021361	Infertility female
238	C0919913	Nasal odour
239	C1699324	Pharyngeal mucositis
240	C0235632	Loin pain
241	C0042029	Urinary tract infection
242	C0241165	Skin thickening
243	C0015672	Fatigue
244	C0562483	Persistent cough
245	C0014850	Oesophageal atresia
246	C1696708	Prehypertension
247	C0015230	Rash
248	C0022906	Lacrimal duct obstruction
249	C2732728	Body height decreased
250	C0267406	Infarction mesenteric
251	C0231529	Tendon pain
252	C0040586	Tracheobronchitis
253	C0151898	Schizophrenic reaction
254	C0856677	Accelerated hair loss
255	C0701824	Staggering gait
256	C0042963	Vomiting
257	C0151585	Deafness permanent
258	C0262397	Breast tenderness
259	C0015732	Faecal incontinence
260	C0005956	Bone marrow disorder
261	C0270769	Radiation myelopathy
262	C2607914	Rhinitis allergic
263	C0003869	Arthritis infective
264	C0919737	Platelet aggregation inhibition
265	C0278134	Sensory loss
266	C0027134	Myringitis
267	C0348801	Pneumonia due to Streptococcus, group b
268	C0233973	Painful erection
269	C0034088	Pulmonary valve incompetence
270	C0206178	Cytomegalovirus retinitis
271	C0349398	Paranoid delusions
272	C0014718	Intertrigo candida
273	C0853141	Therapeutic response unexpected
274	C0019345	Herpes labialis
275	C0029442	Osteomalacia
276	C1299624	Postural orthostatic tachycardia syndrome
277	C0549346	Ischial neuralgia
278	C0854062	Blood fibrinogen decreased
279	C1096657	Prostate examination abnormal
280	C0152159	Uterine hypotonus
281	C0241705	Strangury
282	C0029928	Ovarian disorder
283	C0009917	Muscle contracture
284	C1142068	Arcus lipoides
285	C0031873	Pica
286	C0034150	Purpura
287	C1704373	Compulsive personality disorder
288	C0030824	Penicillin allergy
289	C0043345	Xeroderma
290	C0151538	Buccoglossal syndrome
291	C2747905	Destructive thyroiditis
292	C0853813	Local reaction
293	C0346156	Benign breast neoplasm
294	C0302810	Uraemic syndrome
295	C0034074	Pulmonary infarction
296	C1145628	Unspecified disorder of autonomic nervous system
297	C0220981	Metabolic acidosis
298	C2938875	Upper-airway cough syndrome
299	C1142034	Tandem gait test abnormal
300	C0281860	Wound haematoma
301	C0010054	Arteriosclerosis coronary artery
302	C1328537	Palmar-plantar erythema
303	C2721563	Infectious pneumonitis
304	C0748536	Scleral haemorrhage
305	C0267841	Acalculous cholecystitis
306	C0342257	Diabetic complication
307	C0241950	Intestinal infarction
308	C0001925	Albuminuria
309	C1112274	Genital discharge
310	C0026113	Miliaria
311	C0014714	Ergot poisoning
312	C0281839	Oesophageal rupture
313	C1619700	Renal aplasia
314	C0476280	Musculoskeletal chest pain
315	C0235069	Tetanus-like
316	C0242973	Ventricular dysfunction
318	C0151810	Lack of drug effect
319	C0085639	Fall
320	C0151436	Allergic cutaneous angiitis
321	C0741453	Bedridden
322	C1535849	Application site induration
323	C1290398	Cerebral arterial aneurysm
324	C1868980	Pharmacokinetic interaction
325	C0017566	Gingival hyperplasia
326	C0281803	Endotracheal intubation complication
327	C0022656	Renal cortical necrosis
328	C0542149	Injection site phlebitis
329	C0860516	Ground glass appearance
330	C2939103	Perioral paraesthesia
331	C0003486	Aortic aneurysm
332	C0919986	Infusion site oedema
333	C0009763	Conjunctivitis
334	C1096311	Mucosal discolouration
335	C0600041	Bladder infection
336	C0030922	Peptic ulcer haemorrhage
337	C0024141	Systemic lupus erythematosus
338	C0438716	Chest pressure
339	C0009450	Infection
340	C1141893	Muscle enzyme increased
341	C1096256	Cryptococcal cutaneous infection
342	C0231686	Unsteady gait
343	C0085119	Ulcer foot
344	C0014059	Acute disseminated encephalomyelitis
345	C0023487	Acute promyelocytic leukaemia
346	C0151555	Cinchonism
347	C0424810	Periorbital swelling
348	C0027343	Ingrowing nail
349	C0741165	Aortic embolus
350	C0231528	Myalgia
351	C0022408	Arthropathy
352	C0438242	Blood urea abnormal
353	C0233514	Abnormal behaviour
354	C1608954	Infusion site extravasation
355	C0022665	Renal neoplasm
356	C0017601	Glaucoma
357	C0232132	Thready pulse
358	C0241069	Skin erosion
359	C0079027	Intraoperative hemorrhage
360	C0022354	Jaundice cholestatic
361	C0919569	Airway complication of anaesthesia
362	C2363731	Oropharyngeal pain
363	C0232495	Abdominal pain lower
364	C0019163	Hepatitis B
365	C0003615	Appendicitis
366	C0020255	Hydrocephalus
367	C0340726	Embolism venous
368	C0863112	Pharyngo-oral irritation
369	C0549343	Neck tightness
370	C3495827	Lid sulcus deepened
371	C0221170	Muscle stiffness
372	C0262431	Spinal compression fracture
373	C0232461	Increased appetite
374	C0589616	Genitourinary chlamydia infection
375	C0232409	Hair growth abnormal
376	C0235032	Neurotoxicity
377	C1879328	Blindness, both eyes
378	C0858775	Myopia transient
379	C0232940	Amenorrhea secondary
380	C0151610	Tongue oedema
381	C0948268	Haemodynamic instability
382	C1611174	Post-traumatic pain
383	C0026718	Mucormycosis
384	C0553668	Labored breathing
385	C0855775	Pulmonary function test decreased
386	C0302809	Hepatitis fulminant
387	C1608953	Intestinal diaphragm disease
388	C0235620	Haemorrhage urinary tract
389	C1167785	Haemorrhagic urticaria
390	C1868911	Uric acid abnormal
391	C0024225	Lymphangitis
392	C0234533	Convulsions generalised
393	C0423285	Keratic precipitates
395	C0854097	Hypoaesthesia eye
396	C0232602	Retching
397	C0262613	Renal mass
398	C0575081	Gait disturbance
399	C0235980	Scleral discolouration
400	C0266011	Supernumerary nipple
401	C0853334	Thrombocytopenia aggravated
402	C0030552	Paresis
403	C0272396	Lymph node abscess
404	C0152915	Disseminated tuberculosis
405	C1697747	Laryngeal haemorrhage
406	C0004767	Bartholin's cyst
407	C0155713	Papillary muscle rupture
408	C0014868	Oesophagitis
409	C1112182	Parkinsonian rest tremor
410	C0151650	Kidney fibrosis
411	C0013220	Drug tolerance
412	C0036679	Separation
413	C0340305	Inferior myocardial infarction
414	C0030790	Pelvic infection
415	C0024031	Low back pain
416	C0021308	Infarction
417	C2745924	Platelet aggregation increased
418	C0015726	Fear
419	C0558148	Yellow skin
420	C0027765	Nervous system disorder
421	C1142113	Hyperalbuminaemia
422	C0852628	Embolism arterial (limb)
423	C0021359	Infertility
424	C0232943	Menometrorrhagia
425	C0043250	Wound
426	C1328466	Laryngopharyngeal dysesthesia
427	C0024633	Mallory-Weiss syndrome
428	C0948824	Haemorrhagic anaemia
